Molecule	COR-7349-D2-POST	COR-6215-D2-POST	COR-3717-D2-POST	COR-8330-D2-POST	COR-8763-D2-POST	COR-4361-D2-POST	COR-8843-D2-POST	COR-9546-D2-POST	COR-1481-D2-POST	COR-5218-D2-POST	COR-6604-D2-POST	COR-8468-D2-POST	COR-6302-D2-POST	COR-9198-D2-POST	COR-7256-D2-POST	COR-3195-D2-POST	COR-1957-D2-POST	COR-7085-D2-POST	COR-6176-D2-POST	COR-3560-D2-POST	COR-3661-D2-POST	COR-3708-D2-POST	COR-9818-D2-POST	COR-3504-D2-POST	COR-2465-D2-POST	COR-7414-D2-POST	COR-6698-D2-POST	COR-2674-D2-POST	COR-9151-D2-POST	COR-8066-D2-POST	COR-6685-D2-POST	COR-4856-D2-POST	COR-9223-D2-POST	COR-7101-D2-POST	COR-5623-D2-POST	COR-4181-D2-POST	COR-3427-D2-POST	COR-3194-D2-POST	COR-1548-D2-POST	COR-2400-D2-POST	COR-3315-D2-POST	COR-9446-D2-POST	COR-5554-D2-POST	COR-5136-D2-POST	COR-1168-D2-POST	COR-1665-D2-POST	COR-3985-D2-POST	COR-1002-D2-POST	COR-6913-D2-POST	COR-8446-D2-POST	COR-5087-D2-POST	COR-2349-D2-POST	COR-9359-D2-POST	COR-4616-D2-POST	COR-5429-D2-POST	COR-6308-D2-POST	COR-9348-D2-POST	COR-4994-D2-POST	COR-8852-D2-POST	COR-3309-D2-POST	COR-1278-D2-POST	COR-8111-D2-POST	COR-1404-D2-POST	COR-2854-D2-POST	COR-6297-D2-POST	COR-9350-D2-POST	COR-6709-D2-POST	COR-9643-D2-POST	COR-5319-D2-POST	COR-9943-D2-POST	COR-8625-D2-POST	COR-9970-D2-POST	COR-5456-D2-POST	COR-7257-D2-POST	COR-4806-D2-POST	COR-4847-D2-POST	COR-3722-D2-POST	COR-4271-D2-POST	COR-2455-D2-POST	COR-2823-D2-POST	COR-1592-D2-POST	COR-1433-D2-POST	COR-5797-D2-POST	COR-2950-D2-POST	COR-7717-D2-POST	COR-7714-D2-POST	COR-6711-D2-POST	COR-1141-D2-POST	COR-4617-D2-POST	COR-9868-D2-POST	COR-7264-D2-POST	COR-7610-D2-POST	COR-4209-D2-POST	COR-9504-D2-POST	COR-6813-D2-POST	COR-1699-D2-POST	COR-9633-D2-POST	COR-5449-D2-POST	COR-5530-D2-POST	COR-5800-Other	COR-4582-D1-PRE	COR-6048-D1-PRE	COR-3676-Other
ANXA2	7.417852515	8.977279923	8.022367813	9.273795599	8.612868497	6.794415866	8.30833903	8.868822555	6.960001932	7.758223215	7.06608919	9.751544059	9.211888295	7.787902559	7.6794801	6.54689446	10.56224242	6.392317423	8.226412193	9.50779464	9.027905997	9.746514321	7.30833903	10.05934446	7.700439718	10.54303182	6.87036472	9.278449458	8.236014192	10.62342429	7.845490051	6.50779464	8.511752654	8.375039431	9.202123824	7.820178962	9.368506462	8.882643049	7.813781191	9.899356923	9.448116305	7.909893084	8.471675214	8.949826711	6.930737338	11.14593215	8.164906927	10.53138146	5.523561956	6.700439718	6.894817763	10.42259043	7.199672345	7.909893084	10.20212382	7	7.826548487	11.27408691	8.303780748	7.820178962	8.383704292	6.672425342	8.707359132	9.112439507	11.90670273	9.328674927	8.129283017	7.693486957	6.845490051	7.894817763	8.216745858	11.28048081	8.368506462	8.541096615	7.189824559	6.930737338	9.116343961	7.948367232	9.335390355	9.717676423	8.317412614	8.353146825	6.658211483	9.808964175	8.816983623	7.988684687	7.945443836	8.8008999	8.832890014	8.832890014	9.202123824	9.044394119	9.052568051	9.487840034	6.857980995	8.129283017	7.894817763	7.614709844	8.515699838	8.266786541	9.806549622	9.415741768	8.375039431
ARHGEF11	6.813781191	6.882643049	6.375039431	7.098032083	6.636624621	5.209453366	5.977279923	6.95419631	6.276124405	5.807354922	5.727920455	7.129283017	7.22881869	6.50779464	6.700439718	5.285402219	8.873444113	5.977279923	7.027905997	7.060695932	6.977279923	7.055282436	6.118941073	7.379378367	8.511752654	8.471675214	5.845490051	7.321928095	7.06608919	8.243173983	6.965784285	6.189824559	6.426264755	6.658211483	6.977279923	7.607330314	7.562242424	6.924812504	6.754887502	7.539158811	7.076815597	7.312882955	7.714245518	7.044394119	6.247927513	9.723660944	5.95419631	8.409390936	5.087462841	6.531381461	6.95419631	7.499845887	6.055282436	6.044394119	7.764871591	6.238404739	6.321928095	8.611024797	7.184875343	7.965784285	7.599912842	7.357552005	8.87036472	7.471675214	9.163649676	7.098032083	6.74819285	6.303780748	6.276124405	7.199672345	6.768184325	10.38532318	6.189824559	7.658211483	7.055282436	7.082149041	6.499845887	6.882643049	7.348728154	7.257387843	6.672425342	7.113742166	6.46760555	7.577428828	7.06608919	6.741466986	7.044394119	6.95419631	6.539158811	6.845490051	7.159871337	6.266786541	6.741466986	6.700439718	6.022367813	6.965784285	7.339850003	6.820178962	6.942514505	6.930737338	8.049848549	7.614709844	7.864186145
ASB9	7.523561956	9.906138996	6.977279923	7.813781191	7.124121312	6.426264755	8.670656249	7.483815777	6.257387843	6.523561956	7.238404739	7.851749041	8.033423002	6.977279923	8.820178962	5.672425342	11.31231575	10.69957245	7.707359132	9.071462363	11.2974895	8.924812504	7.335390355	8.894817763	8.394462695	9.831307244	14.21318018	8.271463028	7.891783703	9.113742166	8.550746785	12.61539974	7.721099189	8.588714636	7.672425342	9.499845887	8.194756854	9.77478706	7.479780264	13.99072446	8.62935662	10.28771238	10.19475685	7.744833837	12.22430321	9.438791853	9.385862401	9.278449458	6.06608919	7.897845456	6.741466986	8.364134655	6.257387843	8.296916207	8.984418459	7.686500527	6.294620749	9.531381461	8.011227255	7.651051691	8.601770788	7.285402219	12.20884399	9.753216749	9.944712061	8.842350343	6.977279923	6.906890596	6.714245518	7.271463028	12.28019079	9.174925683	8.283088353	7.721099189	8.415741768	6.900866808	9.441906705	9.56414949	8.154818109	8.082149041	6.977279923	9.103287808	10.33147682	11.73893668	12.8666028	8.758223215	7.73470962	7.491853096	11.22761594	7.321928095	8.082149041	7.294620749	8.612868497	7.994353437	6.930737338	8.665335917	7.459431619	10.30492167	8.098032083	8.588714636	8.535275377	7.682994584	8.303780748
B2M	6.64385619	7.654636029	6.499845887	7.851749041	7.189824559	5.930737338	5.977279923	7.611024797	6.108524457	6.622051819	6.087462841	8.139551352	7.515699838	6.864186145	6.832890014	5.906890596	9.047123912	6.118941073	7.06608919	7.434628228	7.519636253	8.124121312	6.475733431	8.83447105	6.62935662	9.015415052	6.044394119	8.167418146	7.238404739	9.121533517	7.303780748	6.022367813	7.562242424	7.159871337	7.839203788	7.392317423	8.231221181	7.592457037	6.87036472	8.531381461	7.942514505	7.339850003	7.614709844	7.636624621	6.321928095	9.640244936	6.14974712	9.182394353	5.169925001	6.357552005	6.832890014	8.566054038	6.339850003	6.864186145	8.588714636	6.357552005	6.523561956	9.782998209	7.361943774	7.033423002	7.224001674	6.129283017	7.303780748	7.721099189	10.22641219	7.603626345	6.894817763	6.727920455	6	7.044394119	7.30833903	10.34762137	7.076815597	7.632995197	6.672425342	6.276124405	7.033423002	7.14974712	8.092757141	8.348728154	7.044394119	7.357552005	6.906890596	8.348728154	7.405141463	7.060695932	7.087462841	7.618385502	7.339850003	7.686500527	7.761551232	7.247927513	7.696967526	7.851749041	6.169925001	7.159871337	7.247927513	6.614709844	7.238404739	7.442943496	8.584962501	7.982993575	7.882643049
CACYBP	8.13442632	9.350939182	8.948367232	9.810571635	9.153552032	7.174925683	7.049848549	9.603626345	8.049848549	8.209453366	7.033423002	10.32192809	9.238404739	8.422064766	8.005624549	6.882643049	11.22520744	9.076815597	8.700439718	9.558420713	9.789533645	10.22037833	7.86727874	10.61194694	8.194756854	11.06406908	10.35974956	9.994353437	8.098032083	11.13185696	8.303780748	6.845490051	9.177419538	8.920352855	10.3586512	8.084808388	9.981567282	9.348728154	8.027905997	10.38801729	9.768184325	8.152284842	8.562242424	9.50779464	7.06608919	11.59549061	8.519636253	10.93442804	5.781359714	6.95419631	7.622051819	10.53284291	7.665335917	9.126704473	10.68562484	7.77478706	8.21916852	11.80654962	8.625708843	8.087462841	9.243173983	7.906890596	9.292321633	8.283088353	12.49909844	9.30833903	8.658211483	8.238404739	6.942514505	8.519636253	8.719388821	11.75822321	8.861086906	9.345405247	7.672425342	7.499845887	8.717676423	8.54689446	9.800090988	10.34318572	8.625708843	8.792790294	7.689997971	11.06743436	9.324180547	8.515699838	9.162391329	9.37721053	9.199672345	9.812177306	9.531381461	8.965784285	9.566054038	9.695228291	6.882643049	8.8008999	8.312882955	8.169925001	8.917372079	8.622051819	10.19475685	9.791162889	8.523561956
CCNE2	6.768184325	7.303780748	6.366322214	7.888743249	7.129283017	5.754887502	5.700439718	7.714245518	6.339850003	6.721099189	6	8.113742166	7.611024797	8.87958325	7.348728154	5.700439718	9.187352073	5.882643049	6.971543554	7.430452552	7.924812504	10.39606956	6.622051819	8.562242424	6.820178962	8.900866808	6.087462841	7.584962501	6.882643049	12.22836778	8.854868383	5.95419631	7.62935662	7.400879436	7.54303182	11.546171	9.100662339	7.539158811	6.87036472	8.335390355	8.082149041	7.276124405	7.826548487	7.977279923	6.21916852	9.714245518	5.781359714	9.512740463	5.247927513	6.584962501	6.665335917	8.717676423	6.266786541	6.794415866	8.636624621	6.832890014	6.64385619	9.786269628	8.686500527	6.577428828	7.727920455	6.741466986	7.330916878	7.348728154	10.61010206	7.857980995	6.936637939	6.95419631	5.807354922	8.049848549	7.392317423	9.943247396	7.189824559	7.64385619	6.894817763	6.599912842	7.710806434	7.326429487	8.121533517	8.294620749	7.77807713	7.918863237	7.45532722	8.335390355	7.569855608	9.709083813	7.434628228	7.658211483	7.353146825	7.636624621	7.764871591	7.13442632	8.493855449	7.62935662	5.930737338	7.098032083	8.098032083	6.727920455	8.897845456	8.888743249	11.09275714	7.794415866	7.562242424
DDX5	6.95419631	8	7.888743249	8.238404739	7.700439718	7.124121312	6.686500527	8.459431619	6.339850003	6.988684687	10.76901132	8.503825738	8.854868383	7.46760555	7.189824559	6.366322214	9.451211112	8.447083226	7.554588852	8.881113961	8.271463028	9.007027267	6.906890596	8.924812504	7.829722735	9.509775004	6.339850003	8.930737338	7.495855027	9.364134655	7.357552005	6.044394119	7.918863237	7.74819285	8.005624549	9.503825738	8.805743872	8.453270634	8.459431619	8.729620744	8.398743692	7.285402219	7.921840937	8.071462363	6.918863237	9.928518375	6.491853096	10.03066714	6.523561956	6.826548487	6.807354922	9.499845887	6.686500527	7.199672345	8.942514505	6.930737338	6.813781191	9.915132449	8.366322214	6.982993575	7.73470962	6.584962501	9.663558104	7.491853096	10.44914865	8.113742166	7.409390936	7.727920455	6.159871337	7.14974712	7.682994584	10.64205169	7.330916878	7.982993575	8.177419538	6.700439718	7.554588852	7.475733431	8.461479447	9.30492167	7.62935662	7.768184325	7.06608919	9.152284842	8.098032083	7.434628228	7.64385619	7.6794801	10.36084708	7.994353437	8.103287808	7.495855027	8.396604781	8.366322214	6.22881869	7.523561956	7.348728154	6.988684687	7.810571635	7.603626345	9.09011242	8.45532722	8.108524457
CDKN2B	8.312882955	8.900866808	8.317412614	9.398743692	8.957102042	7.721099189	12.38208359	9.018200179	9.414685236	8.768184325	8.773139207	13.64176954	10.83447105	8.299208018	9.239598529	8.544964433	10.30149619	7.098032083	11.01889562	9.025139562	9.079484784	9.405141463	7.312882955	11.45943162	7.599912842	10.29576893	13.19844504	14.31394587	8.430452552	10.5372184	13.79826927	10.87996608	8.257387843	8.758223215	9.921097088	9.28077077	9.117643101	11.04028972	10.50928017	14.16050175	9.342074668	11.06406908	10.8273427	10.93737382	8	10.71123677	7.832890014	10.37395266	9.283088353	8.899356923	7.118941073	10.45378506	9.84862294	7.968666793	12.95746485	11.1341054	8.614709844	12.66166677	10.53915881	10.74483384	12.08181628	9.843921051	9.403012024	8.861086906	11.31344994	10.22761594	12.28843355	9.682994584	8.575539247	9.317412614	8.577428828	12.34512799	7.965784285	11.12282799	8.28077077	13.75039296	12.06743436	10.10459875	9.064742765	11.32108252	11.11374217	11.30606169	14.81410676	10.60871685	11.12120972	9.893301531	8.098032083	10.82972274	9.321928095	11.01611184	8.636624621	9.324180547	8.682994584	9.712527	7.930737338	9.490850877	13.27102525	11.86476651	9.036173613	9.092757141	9.915879379	10.25620869	10.5980525
CSTA	6.339850003	7.426264755	5.882643049	7.087462841	6.400879436	5.50779464	6	6.569855608	5.977279923	5.906890596	6.459431619	9.791976821	7.442943496	6.321928095	6.247927513	5.64385619	7.891783703	6.189824559	6.21916852	6.409390936	9.87958325	8.290018847	6.918863237	8.243173983	6.857980995	9.079484784	5.977279923	8.977279923	7.45532722	8.457380879	6.988684687	6.357552005	8.73809226	6.330916878	7.294620749	7.06608919	7.622051819	7.055282436	6.584962501	7.21916852	8.022367813	7.8008999	7.303780748	6.851749041	6.73470962	8.784634846	8.746514321	8.328674927	5.044394119	6.189824559	6.73470962	7.942514505	5.832890014	6.285402219	7.554588852	6.54689446	6.845490051	9.030667136	6.569855608	8.22881869	7.276124405	6.14974712	6.442943496	7.383704292	10.04575966	6.918863237	6.584962501	6.584962501	5.857980995	6.794415866	6.672425342	11.22580994	6.14974712	7.409390936	7.055282436	6.266786541	10.30947635	6.845490051	7.447083226	7.918863237	6.622051819	11.35700209	7.741466986	7.665335917	9.211888295	6.554588852	9.107217076	6.754887502	6.930737338	6.977279923	7.22881869	6.531381461	7.016808288	6.74819285	6.087462841	6.794415866	6.794415866	7.087462841	9.763212367	6.888743249	8.082149041	7.348728154	8.271463028
GRB2	8.577428828	8.751544059	9.820178962	9.477758266	9.269126679	7.622051819	10.92035286	9.4325419	8.285402219	8.535275377	7.73470962	10.29001885	9.068778278	8.459431619	8.194756854	7.499845887	10.71080643	7.794415866	9.20701432	9.273795599	9.674192268	10.38640142	8.194756854	10.26912668	9.13442632	10.71080643	8.049848549	9.812177306	8.422064766	10.4314976	8.874981348	7.781359714	9.231221181	9.328674927	9.650154214	8.807354922	9.881113961	9.405141463	9.278449458	10.12282799	9.414685236	8.787902559	9.104598754	9.558420713	7.930737338	11.29001885	8.092757141	10.76901132	7.214319121	8.060695932	8.434628228	10.12153352	8.37286506	8.583082768	10.30435132	8.098032083	8.335390355	11.09934781	8.932214752	8.675957033	9.2772874	7.994353437	9.54689446	9.32305476	12.0406322	9.37286506	10.44086917	8.357552005	7.842350343	8.627533884	10.2632692	12.15228484	8.703903573	9.403012024	8.513727596	8.335390355	9.259743264	8.997179481	9.789533645	10.01122726	9.087462841	9.027905997	7.936637939	10.34151882	9.519636253	9.147204925	8.824958741	9.562242424	9.388017285	9.173677136	9.342074668	8.853309555	9.243173983	9.929258409	7.523561956	8.939579214	8.894817763	8.724513853	8.903881846	9.09011242	10.52845411	9.933690655	9.754887502
